Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate,PostId,Id
"25409969","1","","","2014-08-20 16:33:03","","0","146","<p>Good day.</p>

<p>I have a database on my laptop that I would like my class mate to connect to remotely.  We set up an ad-hoc wireless connection but everytime he tries to test the connection to my database it always fails and we get a ""Failed to connect to MySQL at 192.168.1.2:3307 with user root"".</p>

<p>We tried connecting with root, a user that we created on my mysql, I just don't know anymore. I want to cry now.</p>

<p>Please help</p>
","3661160","","","","","2014-08-20 16:33:03","Mysql remote connection over wireless adhoc","<mysql><wifi><remote-access>","0","4","","","","25409969","35600"
"4963677","1","4963887","","2011-02-10 22:56:15","","2","152","<p>I have that <em>this is a dumb question</em> feeling, but here goes ... Can I define a type that is a subset of the elements of a another type? Here's a simplified example.</p>

<pre><code>scala&gt; class Even(i: Int) {
     | assert(i % 2 == 0)  
     | }
defined class Even

scala&gt; new Even(3)
java.lang.AssertionError: assertion failed
</code></pre>

<p>This is a runtime check. Can I define a type such that this is checked at compilation? IE, that the input parameter <code>i</code> is provably always even?</p>
","45525","","","","","2011-02-10 23:37:50","How to constrain a type to a subset of another?","<scala><types>","1","0","","","","4963677","1926"
"21140097","1","","","2014-01-15 14:30:31","","0","1386","<p>I stream a video using libavformat as follows:</p>

<pre><code>static AVStream *add_stream(AVFormatContext *oc, AVCodec **codec,
                        enum AVCodecID codec_id)
{
AVCodecContext *c;
AVStream *st;
/* find the encoder */
*codec = avcodec_find_encoder(codec_id);
if (!(*codec)) {
    fprintf(stderr, ""Could not find encoder for '%s'\n"",
            avcodec_get_name(codec_id));
    exit(1);
}
st = avformat_new_stream(oc, *codec);
if (!st) {
    fprintf(stderr, ""Could not allocate stream\n"");
    exit(1);
}
st-&gt;id = oc-&gt;nb_streams-1;
c = st-&gt;codec;
switch ((*codec)-&gt;type) {
case AVMEDIA_TYPE_AUDIO:
    c-&gt;sample_fmt  = (*codec)-&gt;sample_fmts ?
        (*codec)-&gt;sample_fmts[0] : AV_SAMPLE_FMT_FLTP;
    c-&gt;bit_rate    = 64000;
    c-&gt;sample_rate = 44100;
    c-&gt;channels    = 2;
    break;
case AVMEDIA_TYPE_VIDEO:
    c-&gt;codec_id = codec_id;
    c-&gt;bit_rate = 400000;
    /* Resolution must be a multiple of two. */
    c-&gt;width    = outframe_width;
    c-&gt;height   = outframe_height;
    /* timebase: This is the fundamental unit of time (in seconds) in terms
     * of which frame timestamps are represented. For fixed-fps content,
     * timebase should be 1/framerate and timestamp increments should be
     * identical to 1. */
    c-&gt;time_base.den = STREAM_FRAME_RATE;
    c-&gt;time_base.num = 1;
    c-&gt;gop_size      = 12; /* emit one intra frame every twelve frames at most */
    c-&gt;pix_fmt       = STREAM_PIX_FMT;
    if (c-&gt;codec_id == AV_CODEC_ID_MPEG2VIDEO) {
        /* just for testing, we also add B frames */
        c-&gt;max_b_frames = 2;
    }
    if (c-&gt;codec_id == AV_CODEC_ID_MPEG1VIDEO) {
        /* Needed to avoid using macroblocks in which some coeffs overflow.
         * This does not happen with normal video, it just happens here as
         * the motion of the chroma plane does not match the luma plane. */
        c-&gt;mb_decision = 2;
    }
break;
default:
    break;
}
/* Some formats want stream headers to be separate. */
if (oc-&gt;oformat-&gt;flags &amp; AVFMT_GLOBALHEADER)
    c-&gt;flags |= CODEC_FLAG_GLOBAL_HEADER;
return st;
}
</code></pre>

<p>But when I run this code, I get the following error/warning:</p>

<pre><code>[mpeg @ 01f3f040] VBV buffer size not set, muxing may fail
</code></pre>

<p>Do you know how I can set the VBV buffer size in the code? In fact, when I use ffplay to display the streamed video, ffplay doesn't show anything for short videos but for long videos, it start displaying the video immediately. So, it looks like ffplay needs a buffer to be filled up by some amount so that it can start displaying the stream. Am I right?</p>
","2579264","","","","","2014-01-15 14:30:31","Error in video streaming using libavformat: VBV buffer size not set, muxing may fail","<ffmpeg><streaming><libavcodec><libavformat>","0","1","","","","21140097","51693"
"4757387","1","4757522","","2011-01-21 09:53:06","","5","454","<p>my problem code:</p>

<pre><code>#include &lt;string&gt;
#include &lt;boost/function.hpp&gt;

void func (const std::string&amp;) {}
void func (const boost::function&lt;void()&gt;&amp;) {}

int main() {
    func (main); // good
    func (""bad"");
    return 0;
}
</code></pre>

<p>=></p>

<pre><code>error: call of overloaded ‘func(const char [4])’ is ambiguous
overload.cpp:4: note: candidates are: void func(const std::string&amp;)
overload.cpp:5: note:                 void func(const boost::function&lt;void ()()&gt;&amp;)
</code></pre>

<p>I know I could resolve this by explicitly calling func (string (""bad"")); or by providing a func (const char*), but I wonder if there is a way to keep the caller side as in the example and without introducing more overloads.</p>

<p>Maybe something with boost::enable_if?
Thanks for any hints.</p>
","465642","","","","","2011-01-21 10:21:47","c++ overload: string literal vs. boost::function ambiguity","<c++><string><function><boost><overloading>","2","3","","","","4757387","10"
"8115713","1","8190476","","2011-11-13 23:39:38","","4","10506","<p>I'm using RaphaelJS 2.0 to create several shapes in a div.  Each shape needs to be able to be dragged and dropped within the bounds of the div, independently.  Upon double clicking a shape, that shape needs to rotate 90 degrees.  It may then be dragged and dropped and rotated again.</p>

<p>I've loaded some code onto fiddler: <a href=""http://jsfiddle.net/QRZMS/"" rel=""nofollow"">http://jsfiddle.net/QRZMS/</a>.  It's basically this:</p>

<pre><code>    window.onload = function () {

        var angle = 0;

        var R = Raphael(""paper"", ""100%"", ""100%""),
            shape1 = R.rect(100, 100, 100, 50).attr({ fill: ""red"", stroke: ""none"" }),
            shape2 = R.rect(200, 200, 100, 50).attr({ fill: ""green"", stroke: ""none"" }),
            shape3 = R.rect(300, 300, 100, 50).attr({ fill: ""blue"", stroke: ""none"" }),
            shape4 = R.rect(400, 400, 100, 50).attr({ fill: ""black"", stroke: ""none"" });
        var start = function () {
            this.ox = this.attr(""x"");
            this.oy = this.attr(""y"");
        },
        move = function (dx, dy) {
            this.attr({ x: this.ox + dx, y: this.oy + dy });
        },
        up = function () {

        };
        R.set(shape1, shape2, shape3, shape4).drag(move, start, up).dblclick(function(){
            angle -= 90;
            shape1.stop().animate({ transform: ""r"" + angle }, 1000, ""&lt;&gt;"");
        });


    }
</code></pre>

<p>The drag and drop is working and also one of the shapes rotates on double click.  However, there are two issues/questions:</p>

<ol>
<li><p>How can I attach the rotation onto each shape automatically without having to hard-code each item reference into the rotate method?  I.e. I just want to draw the shapes once, then have them all automatically exposed to the same behaviour, so they can each be dragged/dropped/rotated independently without having to explicitly apply that behaviour to each shape.</p></li>
<li><p>After a shape has been rotated, it no longer drags correctly - as if the drag mouse movement relates to the original orientation of the shape rather than updating when the shape is rotated.  How can I get this to work correctly so that shapes can just be dragged and rotated many times, seamlessley?</p></li>
</ol>

<p>Many thanks for any pointers!</p>
","405781","","","","","2012-10-21 13:32:40","Drag, drop and shape rotation with Raphael JS","<drag-and-drop><raphael><rotation>","6","0","10","","","8115713","2833"
"16924667","1","16925404","","2013-06-04 18:10:26","","0","1611","<p>All my web app are using a comum JAR file. I'd like to get my framework version, that is into a .properties file, and show it on footer page.</p>

<p>I want to read this properties using jstl setBundle tag.</p>

<p>This is the version.properties file:</p>

<pre><code>deploy_version=1.02
data_deploy=2013/06/04 14\:08
computador_deploy=EG1188930
usuario_deploy=1542069
</code></pre>

<p>I'm trying this on my jsp, but I'm getting any value:</p>

<pre><code>&lt;fmt:setBundle basename=""br.gov.company.framework.version"" var=""framework""/&gt;
&lt;fmt:message key=""deploy_version"" bundle=""${framework}""/&gt;
</code></pre>

<p>The JAR file is located into \WEB-INF\lib. </p>

<p>Is there another way to get this from JSP? Or do I have to get it from Java getResourceAsStream?</p>

<p>Tnks!</p>
","1496280","","1496280","","2013-06-04 18:39:35","2013-06-04 18:55:54","Read properties file from jar using jstl setBundle on JSP","<java><jsp><properties><jstl>","1","2","","","","16924667","17"
"17569421","1","","","2013-07-10 11:24:47","","0","40","<p>Last night our free azure website went down because of too much traffic - we had to upgrade it which was fine. Anyhow, I can't get my head around how to set up email alerting to get notified when this happens. Our Account Admin account is using a shared organizational account which is not tied to a specific person in our company (admin@ourcompany.onmicrosoft.com). I cannot change the email address without changing the sign-in address so there's nothing much that can be done there. So, how can I make sure my colleagues get notified when something happens to our subscription?</p>

<p>Apologies in advance if this is the wrong place for the question.</p>
","82834","","","","","2013-07-10 11:24:47","Email alerting for azure subscription","<azure>","0","2","","","","17569421","14158"
"20830837","1","","","2013-12-29 22:32:00","","0","772","<p>I am trying to post a update_with_media on twitter with node.js and request.js. I would like to post the image base64 encode:</p>

<pre><code>    var request = require('request');
    var r = request.post({
       url: ""https://api.twitter.com/1.1/statuses/update_with_media.json"",
       oauth: {
           consumer_key: '...',
           consumer_secret: '...',
           token: '...',
           token_secret: '...'
       }
    }, function(err, response, body) {
       return console.log(err, body);
    });
    var form = r.form();
    form.append(""status"", ""Test..."");
    form.append(""media[]"", ""..."");
</code></pre>

<p>Unfortunately I get an Error: '{""errors"":[{""code"":189,""message"":""Error creating status.""}]}'
Before I tried to post a normal update without an image. This worked fine.</p>

<p>What am I doing wrong?</p>
","3144775","","","","","2014-12-31 04:57:27","Twitter update with media with request.js","<node.js><twitter>","1","0","","","","20830837","290"
"21529330","1","21532635","","2014-02-03 14:00:37","","0","42","<p>How do I access the prog variable of the </p>

<pre><code>parser = argparse.ArgumentParser(prog='ipush',
        description='Utility to push the last commit and email the color diff')
    parser.add_argument('-V', '--version', action='version',
        version='%(prog)s 1.0,$s'PYTHON_VERSION)
</code></pre>

<p>how do I access prog variable from <code>argparse.ArgumentParser</code> as well as <code>PYTHON_VERSION</code> from environment as well?</p>
","3311276","","","","","2014-02-04 06:34:10","accessing ArgumentParser variable with environment variable","<python><environment-variables><argparse>","1","4","","","","21529330","16"
"28026908","1","","","2015-01-19 14:29:11","","0","101","<p>I have a datagrid, with ComboBox as a column. I am able to load the DataGrid and Get the proper values in the combobox, but for some reason, everytime i click and update the value of the combobox, a redbox apears and the whole Datagrid freezes not allowing me to make any further updates.</p>

<p>I don't have specific validation errors.</p>

<p>Here is a sample code</p>

<pre><code>                    &lt;DataGrid x:Name=""dgvFactor"" Margin=""3""  AutoGenerateColumns=""False""  CanUserAddRows=""True"" SelectionMode=""Single"" &gt;
                        &lt;DataGrid.Columns&gt;
                            &lt;DataGridComboBoxColumn x:Name=""cbxfactor"" SelectedValueBinding=""{Binding id_measure}"" Header=""Medida de Conversion"" Width=""200""/&gt;
                            &lt;DataGridTextColumn  Binding=""{Binding factor}""  Header=""Valor"" Width=""100""/&gt;
                        &lt;/DataGrid.Columns&gt;
                    &lt;/DataGrid&gt;
</code></pre>

<p>and the code behind looks like this</p>

<pre><code>    cbxfactor.SelectedValuePath = ""id""
    cbxfactor.DisplayMemberPath = ""measure""
    cbxfactor.ItemsSource = appVM.MeasurementList
</code></pre>

<p>So again, everything shows up fine, but when I start to edit, thats when I run into problems!</p>

<p>Thanks in advance</p>

<p>I found this error...</p>

<pre><code>System.Windows.Data Error: 7 : ConvertBack cannot convert value '2' (type 'Int32'). BindingExpression:Path=id_price_list; DataItem='DataRowView' (HashCode=66577575); target element is 'ComboBox' (Name=''); target property is 'SelectedValue' (type 'Object') NotSupportedException:'System.NotSupportedException: No se puede convertir ByteConverter desde System.Int32.
</code></pre>
","3524375","","3524375","","2015-01-19 17:13:34","2015-02-23 05:18:58","WPF DatagridComboboxColumn Validation Error","<.net><wpf><data-binding>","1","4","","","","28026908","1"
